Generation,TotalFitness,BestFitness
1,3425,10058
2,1773,10053
3,1846,10053
4,1949,10069
5,1997,10093
6,1994,10057
7,2048,10066
8,2130,10134
9,-8037,112
10,1951,10066
11,2271,10117
12,1938,10094
13,1891,10059
14,1933,10061
15,1891,10065
16,1921,10055
17,2007,10096
18,1899,10055
19,2211,10115
20,2296,10113
21,2203,10116
22,1897,10119
23,2171,10116
24,1863,10053
25,1905,10066
26,1942,10069
27,1950,10068
28,2064,10112
29,2063,10111
30,1982,10095
31,-7974,114
32,1849,10067
33,2955,10229
34,1945,10062
35,1994,10053
36,2142,10068
37,2348,10121
38,2338,10168
39,2623,10154
40,2236,10120
41,2236,10171
42,1897,10055
43,1946,10064
44,1978,10062
45,2128,10067
46,2535,10236
47,2084,10116
48,2646,10172
49,2140,10097
50,-7032,115
51,2451,10153
52,2676,10212
53,2890,10236
54,-6241,287
55,2171,10063
56,2200,10119
57,-6891,172
58,2258,10113
59,2156,10114
60,2046,10060
61,2056,10059
62,2819,10213
63,2352,10118
64,2825,10248
65,2752,10254
66,2440,10136
67,4013,11238
68,2604,10113
69,2201,10121
70,2768,10167
71,2709,10175
72,3898,10422
73,5254,10423
74,2946,10124
75,3030,10237
76,3245,10500
77,2560,10125
78,2899,10172
79,2804,10234
80,2678,10178
81,7110,11808
82,2798,10295
83,4185,10713
84,3166,10389
85,3008,10287
86,3512,10354
87,-5259,903
88,3563,10399
89,8462,11269
90,6166,11782
91,4356,10286
92,5494,10483
93,-7384,113
94,8401,11860
95,3406,10158
96,4852,10569
97,6037,10817
98,6156,10772
99,5651,10768
100,5302,10369
101,7385,11252
102,2923,10116
103,3253,10240
104,3933,10247
105,5836,10244
106,3595,10216
107,3820,10295
108,4637,11100
109,3414,10273
110,9249,11562
111,8913,11038
112,6775,10385
113,3820,10360
114,3744,10561
115,4151,10426
116,2637,10113
117,4470,10423
118,3878,10263
119,3715,10172
120,2927,10234
121,2286,10125
122,3069,10357
123,2376,10112
124,2675,10175
125,3257,10660
126,-7551,139
127,-7719,120
128,2462,10164
129,2920,10236
130,2618,10179
131,2356,10114
132,2188,10112
133,-7582,252
134,2326,10116
135,-7219,239
136,2363,10123
137,3204,10348
138,2372,10179
139,2767,10249
140,2378,10125
141,-7250,213
142,3711,10300
143,2787,10177
144,2199,10110
145,2761,10215
146,2348,10235
147,3747,10425
148,3301,10175
149,3952,10533
150,3505,10185
151,-6818,349
152,3074,10233
153,2893,10176
154,3297,10333
155,3136,10167
156,4104,10468
157,4007,10401
158,2708,10185
159,3079,10118
160,6544,11490
161,3085,10155
162,8866,11447
163,-1179,1692
164,7902,11776
165,6198,11230
166,9672,11811
167,16843,12457
168,-1718,1564
169,7300,11002
170,7558,10848
171,8096,11474
172,5852,10459
173,6590,11241
174,5758,10383
175,11110,12025
176,-6430,337
177,12450,11977
178,9822,11531
179,22821,13292
180,21941,12711
181,7190,10365
182,10970,11161
183,7540,11648
184,8574,11581
185,13043,11356
186,6941,10662
187,-4480,343
188,-2320,1420
189,9114,11242
190,13001,11041
191,13875,11878
192,-3765,778
193,-4435,530
194,15537,11720
195,1448,1070
196,1336,2178
197,14437,10853
198,10684,10997
199,5018,10394
200,7513,11105
201,-258,538
202,3582,10216
203,5557,10597
204,6149,10593
205,5572,10280
206,11043,10701
207,5490,10469
208,14208,12515
209,525,1285
210,24072,14394
211,7002,10522
212,3989,3303
213,14070,11119
214,15370,11815
215,5088,10411
216,4040,1398
217,10835,12701
218,17284,11774
219,6082,10710
220,9048,11520
221,8801,10773
222,9046,10975
223,10349,11781
224,7311,10404
225,5881,10900
226,8147,11371
227,4180,2382
228,6182,10425
229,15554,12187
230,4926,10296
231,7618,10814
232,8338,11020
233,7792,10865
234,-1184,808
235,16165,11931
236,-4834,416
237,7453,10728
238,15150,11274
239,16041,11705
240,15572,12072
241,13426,11565
242,12619,12283
243,8453,10356
244,7488,11065
245,5931,10769
246,7880,11504
247,4532,10354
248,10908,11835
249,14497,11520
250,31140,14735
251,2903,2075
252,26522,13224
253,-4043,467
254,9626,11171
255,-1996,683
256,3661,1620
257,9675,11214
258,4198,10230
259,12645,12271
260,15780,12724
261,8991,10544
262,5086,1405
263,4638,1356
264,15651,11524
265,3041,10175
266,6643,10664
267,8454,10553
268,18349,12679
269,6937,10400
270,9919,11527
271,12312,11374
272,-4982,412
273,5378,10410
274,10783,11280
275,8305,10830
276,11432,12715
277,-1560,1610
278,-1719,560
279,3999,10416
280,-5413,233
281,8940,10589
282,9595,11680
283,12259,10966
284,-2450,594
285,7879,10874
286,5856,10415
287,13910,11610
288,14127,12621
289,1993,2034
290,6202,10997
291,6619,10603
292,20845,11906
293,-4738,386
294,4729,10285
295,10587,11989
296,7219,10551
297,6710,10619
298,14327,12028
299,-5375,619
300,-4408,1132
301,-473,949
302,-53,1580
303,10316,11322
304,6418,10413
305,5667,10410
306,10259,11626
307,-2723,593
308,-10,1080
309,19097,12471
310,-2177,984
311,7816,10411
312,20938,11908
313,18145,13279
314,9692,11368
315,-5959,415
316,4753,2827
317,12121,11459
318,3254,1817
319,9634,10599
320,9276,11321
321,6467,10837
322,9495,11262
323,8438,10528
324,7229,10467
325,18972,13240
326,13963,11686
327,-4065,420
328,8351,11351
329,18991,11665
330,14751,11986
331,6229,10644
332,5967,10399
333,9767,11077
334,6900,11205
335,13784,11701
336,13302,11857
337,7462,11066
338,4738,10536
339,7556,10841
340,904,1377
341,-2137,898
342,7675,10545
343,8365,11864
344,-4599,1028
345,-2861,723
346,5610,10474
347,8749,10951
348,5587,10645
349,15996,11528
350,7215,10482
351,8051,10421
352,-5417,473
353,-900,594
354,7656,11068
355,9186,11103
356,760,1269
357,4215,10293
358,30282,14499
359,502,1612
360,5962,11034
361,10403,11465
362,20001,12563
363,6846,11800
364,160,2153
365,15378,12135
366,4702,10351
367,11783,12862
368,17443,13362
369,5809,10585
370,12681,11912
371,-4726,460
372,11617,11331
373,5519,10968
374,4234,10349
375,5513,10976
376,3601,10405
377,6304,11440
378,-803,1753
379,6688,10710
380,-4307,536
381,-5463,763
382,6621,10523
383,4065,10293
384,-4220,463
385,4245,10406
386,-6239,320
387,-6069,516
388,6071,10400
389,-4354,592
390,8346,11505
391,4179,10418
392,3332,10233
393,5675,10586
394,5144,10844
395,3475,10450
396,4138,10570
397,2945,10124
398,6094,11697
399,2843,10410
400,3117,10216
401,3802,10793
402,3196,10221
403,2765,10189
404,3557,10663
405,3199,10289
406,5861,11305
407,3959,10414
408,3219,10128
409,5028,10583
410,3110,10339
411,3375,10196
412,6503,10981
413,3728,10357
414,5194,10335
415,3982,10294
416,5810,10434
417,6041,10601
418,5979,10526
419,5678,10583
420,3519,10217
421,11912,11855
422,13775,11981
423,3532,10460
424,7101,11010
425,7368,10771
426,4973,10401
427,8691,10888
428,12251,11494
429,-1946,932
430,10743,10946
431,6730,11563
432,4101,10305
433,21971,13069
434,3991,10436
435,25545,18449
436,20636,12166
437,4644,10234
438,17472,12008
439,15243,11111
440,11375,12323
441,7528,11154
442,14393,11829
443,10142,12309
444,24321,14164
445,13652,13048
446,9824,11773
447,10934,11807
448,12524,11805
449,11675,4644
450,22543,13764
451,6562,10357
452,1680,1357
453,6759,10658
454,9714,10596
455,13529,12705
456,22389,11979
457,30589,14623
458,22427,13004
459,9691,3518
460,20115,11872
461,7889,11282
462,-3837,402
463,2062,1793
464,13078,11152
465,7433,11002
466,11521,11312
467,-635,956
468,7804,11593
469,9893,5559
470,11930,13043
471,8688,11154
472,13352,12286
473,19129,14109
474,20121,11795
475,10857,12062
476,13815,11481
477,9772,12168
478,11450,11202
479,10507,11422
480,8753,10962
481,42873,14028
482,20955,13316
483,8536,3794
484,17116,11687
485,6532,2007
486,17319,11530